מספר בדיקה,TC_02,תאריך,04/10/2023,
3,"בסמן העכבר לחץ על הלחצן ""לבן""",סמן העכבר אמור להיות יותר גדול והצבע שלו אמור להיות לבן ,סמן העכבר נהייה יותר גדול והצבע שלו לבן ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""סמן העכבר"" (שחור) תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"בסמן העכבר לחץ על הלחצן ""שחור""",סמן העכבר אמור להיות יותר גדול והצבע שלו אמור להיות שחור,סמן העכבר נהייה יותר גדול והצבע שלו נהייה שחור,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""הגדלת תצוגה"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הגדלת תצוגה""",מסך התצוגה באתר אמור להיות יותר גדול ,מסך התצוגה באתר נהייה יותר גדול ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""גופן קריא"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""גופן קריא""",הגופנים באתר אמורים להיות ללא תגים ,הגופנים באתר ללא תגים ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""תיאור לתמונות"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
